type,name,parent_directory,size_bytes
file,circle.py,.,425
file,Generate_files_7.py,.,955
file,main.py,.,162
file,README.md,.,889
file,Seminar_1.py,.,6675
file,Seminar_2.py,.,9313
file,Seminar_3.py,.,11885
file,Seminar_4.py,.,11449
file,Seminar_5.py,.,7553
file,Seminar_6.py,.,8776
file,Seminar_7.py,.,16525
file,Seminar_71_data_1.txt,.,260
file,Seminar_72_data_2.txt,.,108
file,Seminar_73_data_3.json,.,464
file,Seminar_73_data_3.pickle,.,373
file,Seminar_73_data_3.txt,.,326
file,Seminar_8.py,.,13556
file,Seminar_82_db.json,.,89
file,Seminar_82_db.pickle,.,94
file,Seminar_83_db.csv,.,56
file,Seminar_84_db_csv.csv,.,197
file,Seminar_84_db_csv.json,.,428
file,Seminar_84_db_csv.pickle,.,208
file,Seminar_84_db_csv_2.csv,.,197
file,Task_1.py,.,3499
file,Task_2.py,.,3145
file,Task_3.py,.,6272
file,Task_4.py,.,5149
file,Task_5.py,.,2813
file,Task_6.py,.,2403
file,Task_7.py,.,3204
file,Task_8.py,.,4291
directory,.git,.,353117
directory,Seminar_6_Module,.,26352
directory,Seminar_7_data_4,.,28652
directory,Seminar_7_Module,.,20844
directory,Seminar_8_Module,.,15796
directory,__pycache__,.,10403
file,COMMIT_EDITMSG,.\.git,14
file,config,.\.git,318
file,description,.\.git,73
file,FETCH_HEAD,.\.git,115
file,HEAD,.\.git,21
file,index,.\.git,7035
file,ORIG_HEAD,.\.git,41
file,packed-refs,.\.git,112
directory,hooks,.\.git,23513
directory,info,.\.git,240
directory,logs,.\.git,14595
directory,objects,.\.git,306928
directory,refs,.\.git,112
file,applypatch-msg.sample,.\.git\hooks,478
file,commit-msg.sample,.\.git\hooks,896
file,fsmonitor-watchman.sample,.\.git\hooks,4726
file,post-update.sample,.\.git\hooks,189
file,pre-applypatch.sample,.\.git\hooks,424
file,pre-commit.sample,.\.git\hooks,1643
file,pre-merge-commit.sample,.\.git\hooks,416
file,pre-push.sample,.\.git\hooks,1374
file,pre-rebase.sample,.\.git\hooks,4898
file,pre-receive.sample,.\.git\hooks,544
file,prepare-commit-msg.sample,.\.git\hooks,1492
file,push-to-checkout.sample,.\.git\hooks,2783
file,update.sample,.\.git\hooks,3650
file,exclude,.\.git\info,240
file,HEAD,.\.git\logs,5306
directory,refs,.\.git\logs,9289
directory,heads,.\.git\logs\refs,5306
directory,remotes,.\.git\logs\refs,3983
file,main,.\.git\logs\refs\heads,5306
directory,origin,.\.git\logs\refs\remotes,3983
file,HEAD,.\.git\logs\refs\remotes\origin,208
file,main,.\.git\logs\refs\remotes\origin,3775
directory,00,.\.git\objects,1911
directory,02,.\.git\objects,141
directory,04,.\.git\objects,3213
directory,05,.\.git\objects,165
directory,06,.\.git\objects,2505
directory,09,.\.git\objects,3541
directory,0a,.\.git\objects,1144
directory,0c,.\.git\objects,1355
directory,0d,.\.git\objects,530
directory,0e,.\.git\objects,7430
directory,0f,.\.git\objects,2482
directory,10,.\.git\objects,1186
directory,11,.\.git\objects,430
directory,13,.\.git\objects,3598
directory,14,.\.git\objects,1330
directory,15,.\.git\objects,206
directory,17,.\.git\objects,369
directory,1b,.\.git\objects,4280
directory,1c,.\.git\objects,164
directory,1e,.\.git\objects,2708
directory,20,.\.git\objects,1349
directory,22,.\.git\objects,3002
directory,24,.\.git\objects,239
directory,26,.\.git\objects,742
directory,27,.\.git\objects,304
directory,29,.\.git\objects,163
directory,2b,.\.git\objects,1946
directory,2c,.\.git\objects,1223
directory,2e,.\.git\objects,1201
directory,2f,.\.git\objects,2287
directory,30,.\.git\objects,5854
directory,31,.\.git\objects,357
directory,32,.\.git\objects,4056
directory,33,.\.git\objects,584
directory,34,.\.git\objects,484
directory,35,.\.git\objects,435
directory,36,.\.git\objects,1080
directory,37,.\.git\objects,242
directory,3b,.\.git\objects,203
directory,3c,.\.git\objects,1665
directory,3d,.\.git\objects,2649
directory,3e,.\.git\objects,363
directory,3f,.\.git\objects,3481
directory,40,.\.git\objects,228
directory,41,.\.git\objects,2321
directory,44,.\.git\objects,448
directory,45,.\.git\objects,56
directory,46,.\.git\objects,383
directory,47,.\.git\objects,369
directory,4a,.\.git\objects,739
directory,4b,.\.git\objects,2720
directory,4c,.\.git\objects,3238
directory,4d,.\.git\objects,2001
directory,4e,.\.git\objects,2074
directory,51,.\.git\objects,2563
directory,52,.\.git\objects,3565
directory,53,.\.git\objects,1538
directory,56,.\.git\objects,6972
directory,5b,.\.git\objects,2780
directory,5d,.\.git\objects,420
directory,5e,.\.git\objects,892
directory,5f,.\.git\objects,1601
directory,60,.\.git\objects,167
directory,61,.\.git\objects,520
directory,62,.\.git\objects,139
directory,64,.\.git\objects,3175
directory,67,.\.git\objects,167
directory,69,.\.git\objects,331
directory,6b,.\.git\objects,1040
directory,6c,.\.git\objects,174
directory,6d,.\.git\objects,884
directory,6e,.\.git\objects,168
directory,6f,.\.git\objects,632
directory,70,.\.git\objects,1533
directory,71,.\.git\objects,558
directory,72,.\.git\objects,4117
directory,73,.\.git\objects,1824
directory,74,.\.git\objects,202
directory,75,.\.git\objects,1540
directory,77,.\.git\objects,984
directory,78,.\.git\objects,2793
directory,79,.\.git\objects,188
directory,7a,.\.git\objects,202
directory,7c,.\.git\objects,1041
directory,7d,.\.git\objects,1201
directory,7e,.\.git\objects,2275
directory,7f,.\.git\objects,195
directory,80,.\.git\objects,1707
directory,81,.\.git\objects,1353
directory,82,.\.git\objects,170
directory,85,.\.git\objects,1350
directory,86,.\.git\objects,1550
directory,87,.\.git\objects,1874
directory,88,.\.git\objects,165
directory,89,.\.git\objects,6491
directory,8a,.\.git\objects,5606
directory,8b,.\.git\objects,2735
directory,8c,.\.git\objects,757
directory,8e,.\.git\objects,169
directory,8f,.\.git\objects,1100
directory,90,.\.git\objects,660
directory,92,.\.git\objects,2399
directory,93,.\.git\objects,438
directory,95,.\.git\objects,2196
directory,96,.\.git\objects,196
directory,97,.\.git\objects,169
directory,98,.\.git\objects,1708
directory,99,.\.git\objects,3826
directory,9a,.\.git\objects,5103
directory,9b,.\.git\objects,1962
directory,9f,.\.git\objects,3790
directory,a0,.\.git\objects,332
directory,a1,.\.git\objects,2565
directory,a2,.\.git\objects,5194
directory,a3,.\.git\objects,165
directory,a5,.\.git\objects,559
directory,a7,.\.git\objects,200
directory,a8,.\.git\objects,1378
directory,a9,.\.git\objects,1379
directory,ab,.\.git\objects,296
directory,ac,.\.git\objects,111
directory,ad,.\.git\objects,1322
directory,ae,.\.git\objects,4696
directory,b0,.\.git\objects,5601
directory,b1,.\.git\objects,74
directory,b3,.\.git\objects,175
directory,b5,.\.git\objects,3733
directory,b7,.\.git\objects,2199
directory,b9,.\.git\objects,3320
directory,ba,.\.git\objects,4500
directory,bb,.\.git\objects,526
directory,bc,.\.git\objects,1082
directory,bd,.\.git\objects,228
directory,be,.\.git\objects,3300
directory,bf,.\.git\objects,884
directory,c0,.\.git\objects,1376
directory,c2,.\.git\objects,201
directory,c3,.\.git\objects,2096
directory,c4,.\.git\objects,2364
directory,c5,.\.git\objects,280
directory,c6,.\.git\objects,3163
directory,c7,.\.git\objects,1776
directory,ca,.\.git\objects,2408
directory,cb,.\.git\objects,1417
directory,ce,.\.git\objects,3160
directory,cf,.\.git\objects,7144
directory,d1,.\.git\objects,1422
directory,d2,.\.git\objects,1155
directory,d4,.\.git\objects,4655
directory,d6,.\.git\objects,864
directory,d7,.\.git\objects,177
directory,d8,.\.git\objects,165
directory,da,.\.git\objects,5088
directory,db,.\.git\objects,1521
directory,dc,.\.git\objects,178
directory,dd,.\.git\objects,626
directory,de,.\.git\objects,4380
